token_str,A,B,N,x
added,0.00013520456450609773,0.00012504220174308829,0.00017139255436262506,1.016236276300944e-05
addiction,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
addictive,1.9087703224390268e-05,0.0,4.056628505624262e-06,1.9087703224390268e-05
addictively,1.2725135482926845e-05,0.0,2.028314252812131e-06,1.2725135482926845e-05
addictiveyou,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
addicts,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
adding,0.00024495885804634175,0.000117539669638503,0.00024289063177425268,0.00012741918840783874
addins,1.5906419353658556e-06,5.001688069723532e-06,5.070785632030328e-07,-3.4110461343576765e-06
addition,0.0001288419967646343,0.00012754304577795007,0.00011358559815747934,1.2989509866842303e-06
additional,0.0002465494999817076,0.00011253798156877946,0.0002139871536716798,0.00013401151841292816
additionally,6.362567741463422e-06,0.0,2.5353928160151637e-06,6.362567741463422e-06
additions,3.181283870731711e-05,2.0006752278894127e-05,2.6875163849760734e-05,1.1806086428422984e-05
additives,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
address,6.362567741463422e-06,1.250422017430883e-05,1.5212356896090981e-06,-6.141652432845407e-06
adds,0.0006235316386634154,0.0003976342015430208,0.000603423490211609,0.00022589743712039465
ade,0.0,0.0,5.070785632030328e-07,0.0
adega,1.5906419353658556e-06,0.0,1.0141571264060656e-06,1.5906419353658556e-06
adelaida,7.953209676829278e-06,5.001688069723532e-06,3.5495499424212292e-06,2.951521607105746e-06
adelaide,9.543851612195134e-06,0.0,7.606178448045491e-06,9.543851612195134e-06
adelsheim,1.2725135482926845e-05,0.0,5.57786419523336e-06,1.2725135482926845e-05
adelsheims,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
adept,1.5906419353658556e-06,0.0,2.5353928160151637e-06,1.5906419353658556e-06
adequate,7.953209676829278e-06,0.00016255486226601478,2.7889320976166802e-05,-0.0001546016525891855
adequately,0.0,1.250422017430883e-05,9.127414137654589e-06,-1.250422017430883e-05
adhere,0.0,0.0,1.0141571264060656e-06,0.0
adherence,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
adherents,0.0,0.0,5.070785632030328e-07,0.0
adheres,1.5906419353658556e-06,0.0,1.0141571264060656e-06,1.5906419353658556e-06
adhesive,0.0,4.251434859265002e-05,4.056628505624262e-06,-4.251434859265002e-05
adi,3.181283870731711e-06,0.0,5.070785632030328e-07,3.181283870731711e-06
adige,4.771925806097567e-06,0.0,9.127414137654589e-06,4.771925806097567e-06
adjacent,1.5906419353658555e-05,0.0,3.0424713792181962e-06,1.5906419353658555e-05
adjective,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
adjectives,1.5906419353658556e-06,5.001688069723532e-06,5.070785632030328e-07,-3.4110461343576765e-06
adjoining,1.5906419353658556e-06,0.0,0.0,1.5906419353658556e-06
